EmployeeID,GivenName,MiddleInitial,Surname,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
347,Greg,M,Principato,38,Travel_Frequently,Sales,4,3,Medical,Male,2,Research Scientist,Divorced,23060,2,19,1,13,5,4,1,2,1,1,2,3,3,0
348,Lewis,E,Vosburgh,34,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,3,Laboratory Technician,Single,23480,1,14,1,6,3,5,1,3,3,4,3,3,3,0
349,Nancy,R,Espinoza,49,Travel_Rarely,Sales,7,2,Life Sciences,Female,2,Healthcare Representative,Married,89980,1,14,2,9,2,9,7,7,3,4,4,4,3,1
350,Timothy,C,Gamez,55,Travel_Rarely,Human Resources,16,3,Technical Degree,Male,4,Manufacturing Director,Single,43190,4,11,0,12,3,9,7,3,3,4,2,4,3,1
351,Keith,L,Campos,43,Travel_Rarely,Research & Development,25,2,Medical,Male,2,Healthcare Representative,Married,61320,6,13,0,22,3,4,1,0,2,1,3,2,3,0
352,Justin,S,Edwards,27,Travel_Rarely,Sales,2,4,Medical,Male,2,Manager,Divorced,33460,1,21,1,9,2,9,0,8,3,4,3,2,4,0
353,Robert,D,Peterson,35,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Director,Single,108550,3,13,1,17,2,8,1,6,3,3,4,3,3,0
354,Gina,C,Ferguson,28,Travel_Rarely,Sales,1,2,Technical Degree,Female,1,Sales Executive,Married,22310,1,12,0,8,3,8,7,5,2,2,3,2,3,0
355,Robert,K,Silver,34,Travel_Rarely,Sales,2,5,Life Sciences,Male,4,Research Scientist,Married,23230,0,17,0,4,2,3,0,2,3,4,1,3,3,0
356,Jennifer,L,Bodily,26,Travel_Frequently,Research & Development,22,4,Other,Female,1,Sales Executive,Married,20240,1,23,0,8,2,8,1,7,3,3,3,3,4,1
357,Julie,J,Lade,27,Non-Travel,Sales,1,3,Technical Degree,Female,1,Sales Executive,Married,27130,1,11,0,0,2,0,0,0,4,4,2,3,3,0
358,Robert,C,Stockdale,51,Travel_Rarely,Sales,16,3,Medical,Male,3,Research Scientist,Married,94390,2,15,3,29,0,20,4,17,1,3,2,3,3,0
359,Nellie,R,Flores,44,Travel_Rarely,Sales,24,5,Medical,Female,1,Sales Executive,Single,25660,9,11,1,10,3,5,2,3,4,2,2,3,3,0
360,Randy,A,Yoon,25,Travel_Rarely,Research & Development,17,3,Medical,Male,1,Laboratory Technician,Single,199260,7,11,3,6,5,4,0,1,1,1,2,4,3,0
361,Harry,K,Martin,33,Travel_Rarely,Research & Development,8,4,Life Sciences,Male,3,Laboratory Technician,Divorced,24510,1,13,1,9,3,9,0,8,1,1,3,2,3,0
362,Jamie,V,Richard,35,Travel_Rarely,Sales,6,4,Medical,Female,2,Manager,Single,94190,1,24,1,6,5,6,1,1,3,1,2,2,4,0
363,Juan,A,McCree,36,Travel_Rarely,Sales,10,4,Marketing,Male,3,Manager,Married,86860,1,13,0,18,2,18,4,11,2,4,2,3,3,0
364,Sheila,C,Ostlund,32,Travel_Rarely,Research & Development,3,4,Medical,Female,4,Sales Executive,Divorced,30380,2,20,0,8,3,5,0,3,2,4,2,3,4,0
365,Willie,J,Brown,30,Travel_Frequently,Research & Development,4,5,Medical,Male,5,Sales Representative,Divorced,30580,9,14,1,10,2,5,0,3,2,4,2,3,3,0
366,James,R,Bennett,53,Travel_Rarely,Sales,6,3,Marketing,Male,4,Sales Executive,Married,23250,7,18,1,35,1,5,0,4,1,4,3,4,3,0
367,Thomas,D,Jackson,45,Travel_Rarely,Research & Development,1,5,Technical Degree,Male,2,Healthcare Representative,Divorced,20880,4,15,3,18,2,5,0,2,4,1,3,3,3,0
368,Anne,M,Finch,32,Travel_Rarely,Sales,10,3,Marketing,Female,1,Human Resources,Married,30720,5,12,0,9,4,5,1,3,3,3,2,1,3,0
369,Fletcher,E,Kehoe,52,Travel_Frequently,Research & Development,1,1,Life Sciences,Male,2,Laboratory Technician,Married,50060,3,16,1,31,2,9,0,0,3,4,3,3,3,0
370,Amanda,T,Garza,37,Travel_Rarely,Sales,24,2,Life Sciences,Female,4,Laboratory Technician,Divorced,42570,4,15,0,9,2,1,0,0,4,3,3,3,3,0
371,Katia,J,Fye,28,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,1,Healthcare Representative,Divorced,25000,1,16,2,6,3,5,0,4,2,4,3,3,3,0
372,Curtis,V,Crenshaw,22,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,1,Sales Representative,Married,11020,6,19,0,4,3,2,2,2,4,4,1,2,3,0
373,Susan,G,Murphy,44,Travel_Rarely,Research & Development,22,3,Medical,Female,1,Laboratory Technician,Married,104530,2,11,1,10,2,3,0,2,1,4,2,3,3,0
374,Marsha,R,Ward,42,Travel_Frequently,Sales,13,4,Life Sciences,Female,2,Laboratory Technician,Single,22880,5,16,1,8,4,2,2,2,2,4,3,2,3,0
375,Charles,K,Biermann,36,Travel_Rarely,Research & Development,14,3,Other,Male,2,Research Scientist,Married,39290,0,24,0,6,6,5,0,3,1,1,3,2,4,0
376,Teresa,R,Rudnick,25,Travel_Rarely,Sales,11,3,Life Sciences,Female,1,Laboratory Technician,Married,23110,1,11,1,5,2,5,0,3,3,1,3,3,3,0
377,Rachel,A,Perry,35,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,1,Healthcare Representative,Married,31400,1,13,1,17,2,17,5,15,4,3,3,2,3,0
378,Melinda,J,Eslick,35,Travel_Frequently,Sales,8,2,Marketing,Female,1,Laboratory Technician,Divorced,36900,1,13,1,10,2,10,7,8,4,2,2,4,3,1
379,Gabriel,N,Metz,32,Non-Travel,Research & Development,21,3,Life Sciences,Male,1,Sales Executive,Divorced,44500,0,13,0,4,3,3,0,2,4,4,3,3,3,0
380,Lynn,O,Haris,25,Travel_Rarely,Sales,5,3,Marketing,Female,4,Research Scientist,Married,27560,1,12,2,5,2,5,0,3,3,1,4,3,3,0
381,Carolyn,C,Valdes,49,Travel_Rarely,Sales,9,3,Technical Degree,Female,2,Sales Representative,Married,190330,2,18,1,7,5,4,0,2,3,1,3,3,3,0
382,Douglas,E,Owens,24,Non-Travel,Research & Development,2,5,Technical Degree,Male,2,Healthcare Representative,Married,187220,0,22,1,6,3,5,3,4,1,4,2,3,4,0
383,William,W,Smith,32,Travel_Frequently,Research & Development,12,5,Medical,Male,1,Research Scientist,Married,95470,1,13,1,10,3,10,5,3,2,2,3,2,3,0
384,Charles,H,Otwell,38,Travel_Rarely,Sales,22,2,Medical,Male,1,Sales Executive,Married,137340,0,13,0,3,3,2,1,2,2,2,3,4,3,0
385,Gloria,R,Delafuente,42,Travel_Rarely,Research & Development,18,1,Technical Degree,Female,2,Research Scientist,Married,199990,2,23,1,17,6,5,1,3,3,4,2,3,4,0
386,Holly,R,Diggs,31,Travel_Rarely,Research & Development,16,3,Life Sciences,Female,3,Sales Executive,Married,22790,3,12,1,8,3,6,0,2,4,4,3,3,3,0
387,Jeremy,C,Bisson,29,Travel_Rarely,Sales,3,3,Marketing,Male,3,Laboratory Technician,Divorced,59160,6,12,0,5,2,3,0,2,2,3,3,3,3,1
388,Albert,N,Kegley,53,Travel_Rarely,Research & Development,9,3,Life Sciences,Male,1,Sales Representative,Married,20890,5,16,0,28,2,2,2,2,1,4,3,2,3,0
389,David,M,Holder,35,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,3,Healthcare Representative,Married,167920,3,12,1,16,3,13,4,8,4,2,3,4,3,0
390,Katherine,E,Fultz,37,Travel_Frequently,Research & Development,13,4,Life Sciences,Female,3,Human Resources,Married,35640,5,11,0,10,1,5,0,0,3,4,3,1,3,0
391,William,B,Arnold,53,Travel_Rarely,Research & Development,1,1,Medical,Male,1,Sales Executive,Single,44250,6,22,1,33,2,12,3,8,4,4,3,4,4,0
392,Joshua,L,Marquardt,43,Travel_Frequently,Research & Development,1,3,Medical,Male,1,Laboratory Technician,Married,52650,4,11,1,12,4,5,2,2,4,4,2,3,3,0
393,Sharon,K,Lillard,47,Travel_Rarely,Sales,15,4,Marketing,Female,3,Research Director,Married,65530,0,15,0,8,2,7,7,7,3,4,3,3,3,0
394,Stephanie,L,Diaz,37,Non-Travel,Research & Development,1,5,Medical,Female,2,Research Scientist,Single,62610,1,12,0,10,1,10,0,9,1,2,3,3,3,0
395,Pamela,D,Fuentes,50,Non-Travel,Research & Development,17,3,Medical,Female,1,Laboratory Technician,Divorced,42980,1,20,1,31,6,31,14,7,1,1,3,3,4,0
396,Irene,J,Walker,39,Travel_Rarely,Research & Development,1,3,Other,Female,3,Human Resources,Married,68040,8,14,1,13,3,5,0,4,4,4,3,2,3,0
397,George,D,Payne,33,Travel_Rarely,Sales,7,3,Life Sciences,Male,2,Manufacturing Director,Divorced,38150,3,11,1,7,3,4,0,3,4,2,4,3,3,0
398,Danielle,C,Caves,32,Travel_Rarely,Research & Development,9,1,Medical,Female,1,Laboratory Technician,Single,27410,1,15,1,1,5,1,0,1,1,4,1,2,3,1
399,Linda,J,Roy,29,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,4,Healthcare Representative,Divorced,66730,6,12,1,8,2,4,0,3,1,4,3,4,3,0
400,David,B,Richins,44,Travel_Rarely,Research & Development,26,2,Life Sciences,Male,2,Manufacturing Director,Married,76390,1,14,0,8,6,8,7,1,2,1,3,3,3,0
401,Terri,V,Wood,28,Travel_Rarely,Sales,24,5,Life Sciences,Female,1,Research Scientist,Single,23280,1,11,2,4,3,4,0,2,1,4,3,3,3,0
402,George,M,Williams,58,Travel_Frequently,Sales,9,2,Technical Degree,Male,1,Sales Executive,Divorced,21530,9,11,0,3,3,1,0,0,4,4,2,3,3,1
403,James,M,Finklea,43,Travel_Rarely,Sales,7,4,Marketing,Male,2,Sales Executive,Divorced,48760,4,16,2,4,4,1,0,0,1,2,4,3,3,0
404,Otis,E,Marshall,20,Travel_Rarely,Research & Development,11,3,Medical,Male,2,Sales Executive,Single,93960,1,12,0,2,6,2,0,2,3,3,2,1,3,1
405,Scott,M,Johnson,21,Travel_Rarely,Research & Development,1,3,Medical,Male,2,Sales Executive,Single,104000,1,13,1,1,2,1,0,0,,4,2,3,3,1
406,Waldo,H,Holcombe,36,Travel_Rarely,Research & Development,26,4,Medical,Male,1,Laboratory Technician,Married,84740,0,14,0,17,3,16,4,11,3,4,2,3,3,0
407,Terry,B,Rangel,47,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Manufacturing Director,Single,99810,1,21,1,3,3,3,1,2,4,4,2,3,4,0
408,Dorothy,A,Oglesby,22,Travel_Rarely,Research & Development,15,4,Life Sciences,Female,1,Laboratory Technician,Married,124900,0,13,0,4,3,3,0,2,2,3,4,3,3,1
409,Adelaide,J,Corbett,41,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,2,Sales Executive,Divorced,26570,4,11,0,10,3,7,1,0,2,4,2,4,3,1
410,Carol,M,Meadows,28,Travel_Rarely,Research & Development,10,3,Life Sciences,Female,3,Manager,Divorced,135910,5,20,1,6,2,2,2,2,3,3,3,3,4,0
411,Jill,D,Christiansen,39,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,4,Human Resources,Married,66960,7,11,0,8,3,2,2,2,4,1,1,3,3,1
412,Daniel,J,O'Connor,27,Travel_Rarely,Research & Development,1,3,Medical,Male,1,Research Scientist,Single,20580,1,14,1,1,5,1,0,0,2,3,3,3,3,0
413,Douglas,K,Belcher,34,Travel_Rarely,Research & Development,12,2,Technical Degree,Male,2,Human Resources,Divorced,88650,1,11,1,1,0,1,1,0,2,2,3,3,3,0
414,Stephen,T,Smothers,42,Travel_Rarely,Sales,11,1,Technical Degree,Male,2,Human Resources,Single,59400,7,16,0,10,2,5,0,3,3,3,3,2,3,0
415,Lynn,A,Pollard,33,Travel_Rarely,Sales,2,3,Marketing,Female,1,Sales Executive,Single,59140,3,16,1,6,4,3,0,2,3,1,3,3,3,0
416,Dewey,T,Taylor,58,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,1,Research Scientist,Divorced,26220,2,23,0,24,3,6,0,4,3,2,3,3,4,0
417,Lindsey,S,Howell,31,Travel_Rarely,Sales,1,3,Life Sciences,Female,1,Sales Representative,Married,121850,3,14,0,13,2,7,5,2,2,3,4,3,3,0
418,Joshua,B,Thomas,35,Travel_Rarely,Research & Development,2,1,Life Sciences,Male,3,Healthcare Representative,Married,106090,1,22,0,10,3,10,0,7,4,4,1,3,4,0
419,Sarah,K,Hall,49,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,2,Sales Executive,Married,43450,4,15,0,29,3,26,1,7,1,2,2,2,3,0
420,Michael,D,Smith,48,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Married,21770,4,18,0,13,4,0,0,0,4,3,2,3,3,0
421,Barbara,R,Bixler,31,Non-Travel,Research & Development,1,2,Technical Degree,Female,2,Sales Executive,Married,27930,1,16,0,9,4,9,0,0,4,3,2,3,3,0
422,Claudio,E,Vasquez,36,Travel_Rarely,Human Resources,2,4,Technical Degree,Male,1,Sales Executive,Single,79180,2,12,2,8,3,6,0,1,2,4,3,2,3,0
423,James,C,Boyd,38,Travel_Rarely,Sales,6,3,Other,Male,2,Sales Executive,Married,87890,1,11,3,15,4,15,5,11,4,1,3,3,3,0
424,Robert,S,Frawley,32,Non-Travel,Sales,18,3,Marketing,Male,1,Laboratory Technician,Married,23890,6,12,1,5,4,3,0,2,3,2,3,2,3,0
425,Jackson,E,Barnhart,25,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Sales Executive,Married,32120,1,15,1,1,3,1,0,0,3,2,3,2,3,1
426,Trenton,J,Olson,40,Travel_Rarely,Research & Development,1,4,Medical,Male,2,Research Scientist,Divorced,192320,2,14,1,11,3,1,0,0,1,2,2,3,3,0
427,Alan,L,Peacock,26,Travel_Frequently,Sales,11,3,Marketing,Male,2,Healthcare Representative,Single,22670,1,19,3,7,2,7,0,7,3,1,3,2,3,0
428,Robert,E,Pearson,41,Travel_Rarely,Research & Development,1,4,Medical,Male,1,Research Scientist,Single,195170,2,13,0,20,5,18,2,17,4,1,3,3,3,0
429,Marianne,W,Davis,36,Travel_Rarely,Research & Development,9,3,Life Sciences,Female,2,Healthcare Representative,Single,24360,4,13,0,16,3,11,3,9,3,3,3,1,3,0
430,Steven,T,Chavez,19,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,2,Research Scientist,Single,160640,1,15,1,1,3,1,0,0,4,2,4,3,3,1
431,Lisa,T,Wallace,20,Travel_Rarely,Research & Development,29,3,Life Sciences,Female,3,Laboratory Technician,Single,27070,1,11,0,1,2,1,0,0,1,1,3,3,3,1
432,Terry,B,Brinkley,31,Travel_Rarely,Research & Development,1,4,Life Sciences,Male,4,Research Director,Married,190680,0,12,0,10,1,9,8,5,4,4,1,3,3,0
433,Albert,M,Berumen,40,Travel_Frequently,Sales,1,3,Marketing,Male,1,Research Scientist,Divorced,39310,8,19,0,3,2,1,0,0,4,2,3,2,3,0
434,Vincent,E,Johnson,32,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,4,Laboratory Technician,Married,37300,1,25,1,8,4,8,6,3,3,1,4,3,4,0
435,Gary,T,Borders,36,Travel_Rarely,Research & Development,10,3,Medical,Male,3,Sales Executive,Married,22320,1,12,1,16,2,16,3,7,3,4,3,3,3,1
436,Elizabeth,M,Palmer,33,Travel_Rarely,Research & Development,1,4,Medical,Female,4,Manufacturing Director,Single,44650,0,13,0,6,3,5,1,4,2,4,3,3,3,0
437,Stephanie,B,Kearns,37,Travel_Rarely,Sales,10,4,Marketing,Female,3,Human Resources,Married,30720,5,14,0,17,3,14,11,7,1,3,1,2,3,1
438,Walter,D,Jo,45,Non-Travel,Research & Development,8,1,Life Sciences,Male,2,Sales Executive,Married,33190,1,12,1,9,3,9,0,8,3,2,2,3,3,0
439,Peter,S,Shoffner,29,Travel_Frequently,Research & Development,29,1,Life Sciences,Male,1,Sales Representative,Married,192020,1,12,0,3,5,3,0,2,3,4,3,3,3,0
440,Richie,L,Largent,35,Travel_Rarely,Human Resources,1,3,Human Resources,Male,3,Laboratory Technician,Married,136750,1,15,3,5,5,5,1,0,3,3,3,2,3,0
441,Douglas,A,Simon,52,Travel_Rarely,Research & Development,5,4,Other,Male,1,Laboratory Technician,Married,29110,2,17,2,26,3,9,7,8,4,4,2,3,3,0
442,Maria,E,Bain,58,Travel_Rarely,Sales,9,2,Medical,Female,4,Sales Executive,Single,59570,4,14,1,7,2,1,0,0,4,3,3,1,3,1
443,Daniel,C,Collins,53,Travel_Rarely,Research & Development,9,3,Technical Degree,Male,1,Manager,Divorced,39200,6,16,1,22,3,17,15,2,3,3,4,3,3,0
444,Thomas,J,Frost,30,Travel_Rarely,Sales,3,4,Marketing,Male,1,Sales Executive,Divorced,64340,5,14,1,10,3,8,7,7,3,3,4,2,3,0
445,Alfred,T,Wallace,38,Non-Travel,Sales,4,3,Life Sciences,Male,2,Research Director,Single,100480,1,23,1,6,2,5,1,3,3,4,3,3,4,0
446,Margaret,N,Potts,35,Travel_Rarely,Sales,1,2,Life Sciences,Female,2,Healthcare Representative,Divorced,109380,6,14,2,12,2,10,0,8,4,4,3,1,3,0
447,Richard,S,Coleman,39,Travel_Rarely,Sales,1,1,Marketing,Male,2,Research Scientist,Single,23400,0,11,1,9,2,8,0,7,1,3,3,2,3,0
448,Joe,M,Colella,40,Non-Travel,Research & Development,2,4,Life Sciences,Male,1,Human Resources,Single,65450,4,15,0,22,2,1,0,0,2,2,2,3,3,1
449,William,S,Coleman,47,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,3,Sales Executive,Divorced,69310,1,11,0,20,3,19,2,7,3,3,4,3,3,0
450,Claud,L,Trombley,36,Non-Travel,Sales,28,1,Life Sciences,Male,2,Research Scientist,Divorced,48980,4,13,1,12,3,7,0,7,1,4,3,3,3,0
451,Jeffrey,D,Bay,31,Non-Travel,Research & Development,28,4,Medical,Male,2,Research Scientist,Single,25930,0,21,0,4,2,3,1,2,3,1,3,3,4,1
452,Edward,D,Allen,33,Non-Travel,Sales,15,3,Other,Male,4,Research Director,Single,194360,1,19,2,10,4,10,6,0,4,3,3,3,3,0
453,Robert,S,Bickel,29,Travel_Rarely,Human Resources,3,5,Life Sciences,Male,1,Sales Executive,Single,27230,6,11,1,3,2,0,0,0,4,1,3,2,3,1
454,Robert,D,Dougherty,33,Travel_Rarely,Research & Development,2,2,Technical Degree,Male,2,Laboratory Technician,Single,34790,3,12,0,5,3,3,0,2,2,4,3,3,3,0
455,Martha,W,Duran,45,Travel_Rarely,Research & Development,26,1,Medical,Female,3,Healthcare Representative,Divorced,27940,3,19,1,8,2,5,0,2,4,4,3,3,3,0
456,Ruth,W,Tomita,50,Travel_Rarely,Sales,10,1,Life Sciences,Female,1,Manufacturing Director,Divorced,52490,9,21,2,32,2,5,1,3,4,4,2,2,4,0
457,Jeffery,J,Gonzales,33,Travel_Frequently,Sales,1,3,Marketing,Male,2,Human Resources,Married,21760,1,14,1,6,2,6,1,2,3,2,3,2,3,0
458,Wilson,N,Gordon,41,Travel_Frequently,Sales,11,3,Other,Male,1,Laboratory Technician,Divorced,168720,2,15,1,21,2,18,0,11,1,3,4,3,3,0
459,Thomas,E,Garcia,27,Travel_Rarely,Research & Development,20,4,Other,Male,2,Manufacturing Director,Married,34850,9,17,2,4,2,2,2,2,3,2,3,3,3,0
460,Helen,W,McKay,45,Non-Travel,Sales,2,3,Medical,Female,1,Sales Executive,Married,66440,1,12,0,9,3,9,0,8,4,1,3,4,3,0
461,Alma,J,Castro,47,Travel_Rarely,Sales,18,4,Medical,Female,2,Research Scientist,Single,55820,1,16,0,9,3,9,0,7,4,4,3,3,3,0
462,Wesley,J,Ortiz,30,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Healthcare Representative,Married,40000,4,12,0,7,5,5,0,1,1,3,3,2,3,1
463,Doris,C,Garcia,50,Travel_Rarely,Research & Development,1,3,Technical Degree,Female,2,Sales Executive,Married,134960,3,18,1,22,3,12,1,5,4,3,3,3,3,0
464,John,L,Black,38,Travel_Frequently,Research & Development,13,3,Technical Degree,Male,1,Manufacturing Director,Married,32100,0,17,2,3,5,2,0,2,3,3,2,2,3,0
465,Joan,B,Howard,46,Travel_Rarely,Research & Development,28,3,Medical,Female,3,Human Resources,Divorced,190450,6,11,3,13,2,8,0,7,4,3,3,3,3,0
466,Cindy,F,Castiglione,24,Travel_Rarely,Sales,28,3,Life Sciences,Female,1,Healthcare Representative,Divorced,118490,1,16,1,5,3,4,3,2,4,3,3,3,3,0
467,Thomas,L,Harrington,35,Travel_Rarely,Sales,24,3,Medical,Male,3,Healthcare Representative,Divorced,20700,1,13,3,5,1,4,0,2,3,2,1,2,3,1
468,Alexander,J,Hollingsworth,31,Travel_Frequently,Research & Development,5,2,Technical Degree,Male,2,Sales Executive,Married,65020,1,12,0,4,3,4,0,3,3,1,3,3,3,0
469,George,M,Nelson,18,Non-Travel,Sales,5,4,Other,Male,2,Manager,Single,32300,1,12,1,0,3,0,0,0,2,4,3,3,3,0
470,Kimberlie,V,Martinez,54,Travel_Rarely,Sales,23,3,Medical,Female,1,Laboratory Technician,Married,136030,8,13,1,22,2,10,0,8,3,3,3,3,3,0
471,Terry,S,Breland,35,Travel_Rarely,Research & Development,6,4,Medical,Female,1,Manufacturing Director,Divorced,119960,1,19,2,16,3,16,10,1,3,3,2,3,3,0
472,Virginia,J,Mullins,30,Travel_Rarely,Research & Development,4,3,Life Sciences,Female,5,Healthcare Representative,Married,56050,0,12,1,9,0,8,1,7,2,1,2,2,3,0
473,Pamela,G,Bond,20,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,2,Research Scientist,Single,63970,1,17,1,1,3,1,0,0,4,1,3,3,3,1
474,Keith,C,Green,30,Travel_Frequently,Research & Development,8,4,Medical,Male,1,Sales Executive,Single,191440,0,11,0,4,3,3,1,2,2,2,3,3,3,1
475,Magda,M,Parent,26,Travel_Rarely,Sales,1,3,Marketing,Female,2,Research Scientist,Married,175840,1,20,0,8,2,8,1,3,4,4,3,3,4,0
476,Kenneth,D,Guzman,22,Travel_Rarely,Research & Development,8,3,Other,Male,2,Sales Representative,Married,49070,0,21,1,4,2,4,1,1,2,1,2,3,4,0
477,Gary,L,Brooks,48,Travel_Rarely,Human Resources,2,4,Medical,Male,2,Sales Executive,Single,45540,2,11,2,19,3,2,2,2,1,3,3,3,3,0
478,Leland,M,Williams,48,Travel_Rarely,Sales,3,3,Medical,Male,1,Research Director,Single,54150,7,11,1,27,1,15,4,8,3,3,3,3,3,0
479,Rufus,G,Patel,41,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,2,Research Scientist,Single,47410,6,16,0,8,3,2,2,1,4,3,3,3,3,0
480,William,Y,Harrison,39,Travel_Rarely,Sales,2,3,Life Sciences,Male,3,Human Resources,Married,21150,1,18,0,21,3,21,11,8,4,4,3,4,3,0
481,Curtis,J,Christian,27,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,2,Human Resources,Married,31610,0,13,2,4,0,3,2,2,1,4,3,3,3,0
482,Benjamin,G,Broome,35,Travel_Rarely,Sales,24,3,Medical,Male,5,Sales Executive,Divorced,57450,1,17,3,3,4,3,1,2,2,4,2,3,3,0
483,William,D,Larrison,42,Travel_Rarely,Research & Development,23,4,Other,Male,1,Research Scientist,Married,23730,6,14,1,21,3,1,0,0,4,3,,4,3,0
484,Lewis,J,Gonzales,50,Travel_Rarely,Sales,27,3,Medical,Male,2,Sales Executive,Married,33100,4,22,1,8,3,1,0,0,1,4,3,4,4,0
485,Dona,P,Wilson,59,Travel_Rarely,Research & Development,16,4,Medical,Female,5,Laboratory Technician,Single,186650,3,12,0,30,3,5,4,3,3,4,3,2,3,0
486,Brian,C,Johnson,37,Travel_Rarely,Sales,15,3,Marketing,Male,2,Laboratory Technician,Married,44850,5,11,1,15,2,1,0,0,1,2,1,4,3,1
487,Amanda,R,Cole,55,Travel_Frequently,Research & Development,26,2,Life Sciences,Female,2,Sales Executive,Married,27890,3,13,1,17,2,8,6,7,3,2,3,2,3,0
488,Howard,K,George,41,Non-Travel,Research & Development,19,1,Life Sciences,Male,2,Research Scientist,Divorced,58280,1,13,0,21,0,21,5,10,2,3,3,3,3,0
489,Sherry,S,Bowlin,38,Travel_Rarely,Research & Development,24,2,Other,Female,1,Laboratory Technician,Single,23260,8,14,0,19,3,1,0,0,,4,3,4,3,0
490,Marilyn,D,Bontrager,26,Non-Travel,Research & Development,21,1,Life Sciences,Female,1,Manufacturing Director,Single,135250,8,17,1,7,4,2,2,2,2,1,3,2,3,1
491,Mildred,P,Green,52,Travel_Rarely,Research & Development,5,4,Medical,Female,4,Human Resources,Married,14200,1,13,1,33,2,32,6,9,1,4,3,4,3,1
492,Denice,G,Nelson,44,Travel_Rarely,Research & Development,16,3,Life Sciences,Female,1,Healthcare Representative,Married,80200,3,11,1,23,2,12,11,11,4,4,3,3,3,0
493,Gary,J,Meredith,50,Non-Travel,Human Resources,2,2,Life Sciences,Male,1,Laboratory Technician,Married,36880,0,11,0,19,3,18,0,13,4,3,3,2,3,0
494,Joseph,S,Lowe,36,Travel_Rarely,Sales,2,4,Technical Degree,Male,4,Sales Executive,Single,54820,1,18,0,18,3,17,15,14,3,1,3,3,3,1
495,Jimmy,S,Maynard,39,Travel_Frequently,Sales,11,3,Marketing,Male,1,Sales Executive,Single,160150,1,11,0,21,3,21,2,8,4,1,3,4,3,0
496,Eric,M,Yoder,33,Non-Travel,Sales,9,2,Technical Degree,Male,5,Sales Representative,Single,12000,0,11,1,3,3,2,2,2,2,4,2,3,3,0
497,Paul,K,Cameron,45,Travel_Rarely,Research & Development,7,2,Other,Male,1,Human Resources,Married,56610,3,12,0,26,2,9,1,1,4,4,4,2,3,0
498,Keith,J,Luz,32,Non-Travel,Research & Development,15,3,Medical,Male,2,Manager,Single,69290,9,20,0,10,6,8,7,7,4,3,3,1,4,0
499,Daniel,J,Winslow,34,Travel_Rarely,Sales,6,4,Marketing,Male,2,Research Director,Divorced,96130,0,12,1,16,5,15,0,9,2,4,2,2,3,0
500,Ronald,V,Pickett,59,Travel_Rarely,Research & Development,5,3,Life Sciences,Male,2,Research Scientist,Married,56740,3,12,0,14,6,6,0,4,2,4,1,3,3,0
501,Steve,R,Spruill,45,Travel_Rarely,Research & Development,16,1,Medical,Male,2,Sales Executive,Single,54840,1,20,3,6,6,6,0,4,2,2,3,3,4,0
502,Alexander,L,Stoner,53,Travel_Frequently,Sales,8,2,Medical,Male,2,Research Scientist,Married,120610,2,20,1,30,2,15,6,12,3,2,3,4,4,0
503,Sue,R,Cummings,36,Travel_Rarely,Research & Development,7,2,Life Sciences,Female,1,Research Scientist,Divorced,56600,7,12,0,9,3,1,0,0,1,3,2,3,3,1
504,Kenneth,K,Ireland,26,Travel_Frequently,Sales,2,3,Life Sciences,Male,2,Research Scientist,Married,48210,6,14,2,6,2,3,1,2,1,1,3,3,3,1
505,Donald,V,Clements,34,Travel_Rarely,Research & Development,2,2,Life Sciences,Male,1,Sales Representative,Married,64100,1,13,1,1,5,1,0,0,3,3,3,2,3,0
506,Thomas,E,Ledbetter,28,Travel_Rarely,Research & Development,10,3,Other,Male,2,Sales Representative,Married,52100,1,15,0,1,1,1,0,0,4,2,3,4,3,0
